Club,Population,League,Stadium,Link
Kerry FC,212847,League of Ireland First Division,Mounthawk Park,http://www.wikidata.org/entity/Q115245702
Salthill Devon F.C.,137794,League of Ireland First Division,Drom Clubhouse,http://www.wikidata.org/entity/Q2262729
Galway FC,432144,League of Ireland Premier Division,Eamonn Deacy Park,http://www.wikidata.org/entity/Q16783238
Sligo Rovers F.C.,155313,League of Ireland Premier Division,The Showgrounds,http://www.wikidata.org/entity/Q244874
Longford Town F.C.,280639,League of Ireland First Division,Flancare Park,http://www.wikidata.org/entity/Q1478917
Finn Harps F.C.,133761,League of Ireland First Division,Finn Park,http://www.wikidata.org/entity/Q1352136
Cork City F.C.,504148,League of Ireland Premier Division,Turners Cross,http://www.wikidata.org/entity/Q932284
Kildare County F.C.,453077,League of Ireland First Division,Station Road,http://www.wikidata.org/entity/Q1666370
Waterford United F.C.,422212,League of Ireland Premier Division,Waterford Regional Sports Centre,http://www.wikidata.org/entity/Q394466
Ballinamallard United F.C.,126430,NIFL Premiership,Ferney Park,http://www.wikidata.org/entity/Q674454
Derry City F.C.,198039,League of Ireland Premier Division,Brandywell Stadium,http://www.wikidata.org/entity/Q459622
Coleraine F.C.,111425,NIFL Premiership,The Showgrounds,http://www.wikidata.org/entity/Q1108181
Dundalk F.C.,224488,League of Ireland First Division,Oriel Park,http://www.wikidata.org/entity/Q338557
Shamrock Rovers F.C.,268925,League of Ireland Premier Division,Tallaght Stadium,http://www.wikidata.org/entity/Q203976
Dungannon Swifts F.C.,143917,NIFL Premiership,Stangmore Park,http://www.wikidata.org/entity/Q1265680
Portadown F.C.,91417,NIFL Premiership,Shamrock Park,http://www.wikidata.org/entity/Q168660
Larne F.C.,86157,NIFL Premiership,Inver Park,http://www.wikidata.org/entity/Q2373463
Lisburn Distillery F.C.,150211,NIFL Premiership,New Grosvenor Stadium,http://www.wikidata.org/entity/Q312360
Glenavon F.C.,105654,NIFL Premiership,Mourneview Park,http://www.wikidata.org/entity/Q1130432
