club,clubLabel,leagueLabel,venueLabel,countryLabel,coordinates
http://www.wikidata.org/entity/Q18529,Wrexham A.F.C.,EFL Championship,Racecourse Ground,United Kingdom,Point(-3.003611 53.051944)
http://www.wikidata.org/entity/Q18659,Swansea City A.F.C.,EFL Championship,Liberty Stadium,United Kingdom,Point(-3.9351 51.6422)
http://www.wikidata.org/entity/Q18661,Middlesbrough F.C.,EFL Championship,Riverside Stadium,United Kingdom,Point(-1.216944444 54.578333333)
http://www.wikidata.org/entity/Q18721,Norwich City F.C.,EFL Championship,Carrow Road,United Kingdom,Point(1.309166666 52.622222222)
http://www.wikidata.org/entity/Q18723,Queens Park Rangers F.C.,EFL Championship,Kiyan Prince Foundation Stadium,United Kingdom,Point(-0.232222222 51.509166666)
http://www.wikidata.org/entity/Q18732,Southampton F.C.,EFL Championship,St Mary's Stadium,United Kingdom,Point(-1.39111111 50.90583333)
http://www.wikidata.org/entity/Q18736,Stoke City F.C.,EFL Championship,Britannia Stadium,United Kingdom,Point(-2.175555555 52.988333333)
http://www.wikidata.org/entity/Q18744,West Bromwich Albion F.C.,EFL Championship,The Hawthorns,United Kingdom,Point(-1.963888888 52.509166666)
http://www.wikidata.org/entity/Q19444,Birmingham City F.C.,EFL Championship,St Andrew's,United Kingdom,Point(-1.868188888 52.475702777)
http://www.wikidata.org/entity/Q19446,Blackburn Rovers F.C.,EFL Championship,Ewood Park,United Kingdom,Point(-2.489166666 53.728611111)
http://www.wikidata.org/entity/Q19456,Bristol City F.C.,EFL Championship,Ashton Gate Stadium,United Kingdom,Point(-2.620278 51.44)
http://www.wikidata.org/entity/Q19462,Charlton Athletic F.C.,EFL Championship,The Valley,United Kingdom,Point(0.035632 51.487489)
http://www.wikidata.org/entity/Q19470,Derby County F.C.,EFL Championship,Pride Park Stadium,United Kingdom,Point(-1.447222222 52.915)
http://www.wikidata.org/entity/Q19477,Hull City A.F.C.,EFL Championship,MKM Stadium,United Kingdom,Point(-0.367777777 53.746111111)
http://www.wikidata.org/entity/Q19481,Leicester City F.C.,EFL Championship,Leicester City Stadium,United Kingdom,Point(-1.142222222 52.620277777)
http://www.wikidata.org/entity/Q19487,Millwall F.C.,EFL Championship,The Den,United Kingdom,Point(-0.050833 51.485833)
http://www.wikidata.org/entity/Q19498,Sheffield Wednesday F.C.,EFL Championship,Hillsborough Stadium,United Kingdom,Point(-1.500555555 53.411388888)
http://www.wikidata.org/entity/Q19580,Coventry City F.C.,EFL Championship,Ricoh Arena,United Kingdom,Point(-1.495556 52.448056)
http://www.wikidata.org/entity/Q19604,Portsmouth F.C.,EFL Championship,Fratton Park,United Kingdom,Point(-1.063888888 50.796388888)
http://www.wikidata.org/entity/Q19607,Sheffield United F.C.,EFL Championship,Bramall Lane,United Kingdom,Point(-1.470833333 53.370277777)
http://www.wikidata.org/entity/Q19612,Preston North End F.C.,EFL Championship,Deepdale,United Kingdom,Point(-2.688055555 53.772222222)
http://www.wikidata.org/entity/Q48929,Burton Albion F.C.,EFL Championship,Pirelli Stadium,United Kingdom,Point(-1.626958 52.821906)
http://www.wikidata.org/entity/Q48946,Oxford United F.C.,EFL Championship,Kassam Stadium,United Kingdom,Point(-1.208067 51.716419)
http://www.wikidata.org/entity/Q2714,Watford F.C.,EFL Championship,Vicarage Road,United Kingdom,Point(-0.401606 51.649928)
http://www.wikidata.org/entity/Q9653,Ipswich Town F.C.,EFL Championship,Portman Road,United Kingdom,Point(1.145277777 52.055)
http://www.wikidata.org/entity/Q18662,Cardiff City F.C.,EFL League One,Cardiff City Stadium,United Kingdom,Point(-3.203056 51.472778)
http://www.wikidata.org/entity/Q18729,Reading F.C.,EFL League One,Madejski Stadium,United Kingdom,Point(-0.982777777 51.422222222)
http://www.wikidata.org/entity/Q18750,Wigan Athletic F.C.,EFL League One,The Brick Community Stadium,United Kingdom,Point(-2.653889 53.547778)
http://www.wikidata.org/entity/Q19442,Barnsley F.C.,EFL League One,Oakwell,United Kingdom,Point(-1.4675 53.552222)
http://www.wikidata.org/entity/Q19449,Blackpool F.C.,EFL League One,Bloomfield Road,United Kingdom,Point(-3.048056 53.804722)
http://www.wikidata.org/entity/Q19451,Bolton Wanderers F.C.,EFL League One,Toughsheet Community Stadium,United Kingdom,Point(-2.535555555 53.580555555)
http://www.wikidata.org/entity/Q19473,Huddersfield Town A.F.C.,EFL League One,Kirklees Stadium,United Kingdom,Point(-1.768333333 53.654166666)
http://www.wikidata.org/entity/Q19495,Peterborough United F.C.,EFL League One,London Road Stadium,United Kingdom,Point(-0.240389 52.564694)
http://www.wikidata.org/entity/Q19578,Colchester United F.C.,EFL League One,Colchester Community Stadium,United Kingdom,Point(0.897703 51.9234)
http://www.wikidata.org/entity/Q19589,Doncaster Rovers F.C.,EFL League One,Keepmoat Stadium,United Kingdom,Point(-1.113889 53.509722)
http://www.wikidata.org/entity/Q19595,Leyton Orient F.C.,EFL League One,Brisbane Road,United Kingdom,Point(-0.012639 51.560139)
http://www.wikidata.org/entity/Q19615,Scunthorpe United F.C.,EFL League One,Glanford Park,United Kingdom,Point(-0.69525 53.586722)
http://www.wikidata.org/entity/Q48953,Wycombe Wanderers F.C.,EFL League One,Adams Park,United Kingdom,Point(-0.800277777 51.630555555)
